ENV;CLONE;REP;ATR;FIBRA;TCH;TAH
UIR;G04;4;140.15;13.58;77.7;10.889655
UIR;G05;1;123.39;16.1;85;10.48815
UIR;G05;2;96.86;16.19;89.4;8.659284
UIR;G05;3;112.49;16.2;71.1;7.998039
UIR;G05;4;121.36;14.84;84.8;10.291328
UIR;G06;1;117.02;15.31;93;10.88286
UIR;G06;2;127.26;15.11;79.6;10.129896
UIR;G06;3;111.42;16.36;74.4;8.289648
UIR;G06;4;140.48;15.12;76.8;10.788864
UIR;G07;1;122.32;15.58;84.9;10.384968
UIR;G07;2;140.67;16.23;91.8;12.913506
UIR;G07;3;139.35;13.88;84;11.7054
UIR;G07;4;147.14;15.85;61;8.97554
UIR;G08;1;123.92;14.65;73.4;9.095728
UIR;G08;2;135.48;15.27;88.2;11.949336
UIR;G08;3;123.36;14.92;93.8;11.571168
UIR;G08;4;129.65;15.13;75.3;9.762645
UIR;G09;1;133.08;14.68;85.8;11.418264
UIR;G09;2;138.96;13.48;67.3;9.352008
UIR;G09;3;126.72;14.78;80.8;10.238976
UIR;G09;4;159.75;13.72;76;12.141
UIR;G10;1;109.49;17.52;92.3;10.105927
UIR;G10;2;113.36;17.49;90.9;10.304424
UIR;G10;3;119.07;16.49;88.5;10.537695
UIR;G10;4;107.06;16.48;91.9;9.838814
UIR;G11;1;126.46;13.56;104.8;13.253008
UIR;G11;2;130.55;14.31;107.8;14.07329
UIR;G11;3;126.8;13.74;89;11.2852
UIR;G11;4;137.66;13.68;92.1;12.678486
UJA;G01;1;145.66;14.69;62.8;9.147448
UJA;G01;2;141.19;14.3;49.6;7.003024
UJA;G01;3;153.78;15.56;36.3;5.582214
UJA;G01;4;160.5;14.46;53.5;8.58675
UJA;G02;1;120.85;13.42;45.2;5.46242
UJA;G02;2;123.88;12.62;65.6;8.126528
UJA;G02;3;131.39;12.85;55.4;7.279006
UJA;G02;4;127.8;13.45;39.2;5.00976
UJA;G03;1;125.97;14.14;42.6;5.366322
UJA;G03;2;130.65;15.89;32.9;4.298385
UJA;G03;3;130.49;15.44;20.5;2.675045
UJA;G03;4;146.35;13.72;44;6.4394
UJA;G04;1;143.83;13.9;47.1;6.774393
UJA;G04;2;134.91;14.9;35.2;4.748832
UJA;G04;3;112.05;15.45;29.1;3.260655
UJA;G04;4;119.39;15.92;43.3;5.169587
UJA;G05;1;116.83;15.76;98.2;11.472706
UJA;G05;2;121.12;15.93;89.3;10.816016
UJA;G05;3;106.51;14.52;98.2;10.459282
UJA;G05;4;102.07;14.23;67.3;6.869311
UJA;G06;1;145.61;14.14;78.3;11.401263
UJA;G06;2;143.71;14.32;76.9;11.051299
UJA;G06;3;129.95;15.96;66.3;8.615685
UJA;G06;4;123.99;15.33;54.9;6.807051
UJA;G07;1;114.52;13.59;58.2;6.665064
UJA;G07;2;138.11;14.09;53.3;7.361263
UJA;G07;3;127.7;15.48;33.7;4.30349
UJA;G07;4;125.42;15.11;47;5.89474
UJA;G08;1;100.27;16.41;62.3;6.246821
UJA;G08;2;122.37;14.62;63.7;7.794969
UJA;G08;3;135.26;14.42;41.9;5.667394
UJA;G08;4;103.34;15.38;60;6.2004
UJA;G09;1;108.94;16.31;59.4;6.471036
UJA;G09;2;133.47;13.69;68.8;9.182736
UJA;G09;3;135.39;14.82;39.8;5.388522
UJA;G09;4;127.96;15.06;48.2;6.167672
UJA;G10;1;125.75;16.47;66.6;8.37495
UJA;G10;2;130.15;17.11;41.5;5.401225
UJA;G10;3;124.25;16.19;71;8.82175
UJA;G10;4;107.06;16.5;37;3.96122
UJA;G11;1;121.19;13.13;63.7;7.719803
UJA;G11;2;131.87;15.66;74.7;9.850689
UJA;G11;3;131.4;13.96;62.2;8.17308
UJA;G11;4;139.18;14.42;61.3;8.531734
ULC;G01;1;137.9;12.58;109.3;15.07247
ULC;G01;2;141.97;11.92;106.9;15.176593
ULC;G01;3;139.28;15.04;84.5;11.76916
ULC;G01;4;136.62;11.9;99.6;13.607352
ULC;G02;1;123.7;11.8;125.6;15.53672
ULC;G02;2;113.07;11.75;131.4;14.857398
ULC;G02;3;127.35;11.19;97.7;12.442095
ULC;G02;4;104.04;11.7;82.5;8.5833
ULC;G03;1;145.92;11.74;87;12.69504
ULC;G03;2;134.16;13.29;84.8;11.376768
ULC;G03;3;135.49;11.95;79.2;10.730808
ULC;G03;4;155.45;11.84;50.6;7.86577
ULC;G04;1;121.41;12.43;113.6;13.792176
ULC;G04;2;141.22;11.99;113.2;15.986104
ULC;G04;3;125.9;12.73;82.6;10.39934
ULC;G04;4;125.87;12.24;101.3;12.750631
ULC;G05;1;116.21;12.44;120.4;13.991684
ULC;G05;2;126.21;11.38;93.7;11.825877
ULC;G05;3;122.46;12.17;142.2;17.413812
ULC;G05;4;121.59;12.69;117.2;14.250348
ULC;G06;1;135.27;11.93;143.9;19.465353
ULC;G06;2;134.93;12.37;140.9;19.011637
ULC;G06;3;140.13;11.57;129.9;18.202887
ULC;G06;4;131.68;11.52;113.1;14.893008
ULC;G07;1;139.48;12.13;132.6;18.495048
ULC;G07;2;128.24;11.31;129.4;16.594256
ULC;G07;3;150.29;13;102.3;15.374667
ULC;G07;4;135.52;13.07;92.7;12.562704
ULC;G08;1;137.93;12.66;126.7;17.475731
ULC;G08;2;152.32;13.29;94.4;14.379008
ULC;G08;3;128.37;13.63;115;14.76255
ULC;G08;4;124.88;12.77;108.7;13.574456
ULC;G09;1;127.34;12.51;157.8;20.094252
ULC;G09;2;137.45;12.45;117.7;16.177865
ULC;G09;3;132.98;12.47;137.5;18.28475
ULC;G09;4;125.52;11.92;129.9;16.305048
ULC;G10;1;115.55;14.71;143.8;16.61609
ULC;G10;2;124.76;13.24;78.6;9.806136
ULC;G10;3;120.26;13.86;111.2;13.372912
ULC;G10;4;125.5;14.03;99.7;12.51235
ULC;G11;1;147.47;12.86;110.9;16.354423
ULC;G11;2;151.72;12.3;125.5;19.04086
ULC;G11;3;149.62;13.07;106.3;15.904606
ULC;G11;4;143.02;11.71;115.5;16.51881
USV;G01;1;150.19;14.28;63.8;9.582122
USV;G01;2;154.16;12.46;85.9;13.242344
USV;G01;3;147.25;13.56;117.5;17.301875
USV;G01;4;146.8;15.5;44.3;6.50324
USV;G02;1;138.02;12.3;66.9;9.233538
USV;G02;2;129.57;11.36;51.6;6.685812
USV;G02;3;141.02;12.61;63.7;8.982974
USV;G02;4;124.03;11.49;72.2;8.954966
USV;G03;1;138.03;11.71;62;8.55786
USV;G03;2;141.26;17.33;49.8;7.034748
USV;G03;3;141.99;13.48;53.2;7.553868
USV;G03;4;116.7116677;17.12464513;76.4;8.916771413
USV;G04;1;114.77;15.52;71.6;8.217532
USV;G04;2;135.73;14.77;98.9;13.423697
USV;G04;3;128.22;14.44;115.5;14.80941
USV;G04;4;115.4955675;15.1123531;127;14.66793707
USV;G05;1;117.61;14.73;75;8.82075
USV;G05;2;116.66;13.9;69.7;8.131202
USV;G05;3;109.06;13.98;66.9;7.296114
USV;G05;4;115.68;14.09;100.3;11.602704
USV;G06;1;144.92;12.89;78.3;11.347236
USV;G06;2;137.97;13.42;60.2;8.305794
USV;G06;3;138.25;15.59;55.8;7.71435
USV;G06;4;135.95;14.08;98.2;13.35029
USV;G07;1;90.08;16.17;60.9;5.485872
USV;G07;2;146.71;13.14;80.2;11.766142
USV;G07;3;151.38;14.98;71.7;10.853946
USV;G07;4;127.3115952;16.76903019;100.2;12.75662184
USV;G08;1;137.12;13.21;110.6;15.165472
USV;G08;2;122.45;14.1;79.4;9.72253
USV;G08;3;121.13;15.04;67;8.11571
USV;G08;4;125.3909515;12.7255918;117.6;14.74597589
USV;G09;1;129.64;13.25;100.7;13.054748
USV;G09;2;154.55;12.93;159.9;24.712545
USV;G09;3;140.55;11.49;84.3;11.848365
USV;G09;4;154.6227603;13.84883286;97.6;15.09118141
USV;G10;1;150.7;13.56;74.4;11.21208
USV;G10;2;118.21;15.99;97.5;11.525475
USV;G10;3;110.02;14.15;106.8;11.750136
USV;G10;4;116.28;15.45;129;15.00012
USV;G11;1;126.88;12.08;88.2;11.190816
USV;G11;2;144.73;13.85;106.5;15.413745
USV;G11;3;158.61;14.43;106.7;16.923687
USV;G11;4;147.3667079;12.96487355;104.3;15.37034764
UVG;G01;1;163.94;10.49;143.9;23.590966
UVG;G01;2;161.28;10.22;126.3;20.369664
UVG;G01;3;168.5;10.56;156.3;26.33655
UVG;G01;4;167.73;10.49;160.2;26.870346
UVG;G02;1;138.62;10.81;127.5;17.67405
UVG;G02;2;138.09;10.19;92.7;12.800943
UVG;G02;3;142.59;10.37;152.2;21.702198
UVG;G02;4;135.57;11.47;152.5;20.674425
UVG;G03;1;153.94;10.49;155.4;23.922276
UVG;G03;2;161.05;10.46;92.6;14.91323
UVG;G03;3;158.71;10.12;124.7;19.791137
UVG;G03;4;152.83;11.32;114.3;17.468469
UVG;G04;1;149.27;11.51;113.6;16.957072
UVG;G04;2;133.22;10.53;121.8;16.226196
UVG;G04;3;143.27;11.2;114;16.33278
UVG;G04;4;139.31;11.4;157.7;21.969187
UVG;G05;1;133.24;11.57;73.4;9.779816
UVG;G05;2;141.64;11.38;130.1;18.427364
UVG;G05;3;140.69;11.53;150.5;21.173845
UVG;G05;4;128.52;10.65;147.5;18.9567
UVG;G06;1;136.95;10.13;147;20.13165
UVG;G06;2;156.74;10.38;112.9;17.695946
UVG;G06;3;154.21;11.05;160.5;24.750705
UVG;G06;4;155.82;9.97;171.7;26.754294
UVG;G07;1;158.21;10.43;108.3;17.134143
UVG;G07;2;158.86;10.51;121.7;19.333262
UVG;G07;3;153.5;10.83;146.2;22.4417
UVG;G07;4;138.2;10.44;174.3;24.08826
UVG;G08;1;130.72;10.94;134.9;17.634128
UVG;G08;2;136.81;10.75;174.1;23.818621
UVG;G08;3;140.31;11.54;136.3;19.124253
UVG;G08;4;146.39;12.22;157.7;23.085703
UVG;G09;1;152.55;10.01;81.9;12.493845
UVG;G09;2;133.52;10.24;134.6;17.971792
UVG;G09;3;142.41;10.76;125.7;17.900937
UVG;G09;4;142;10.24;101.2;14.3704
UVG;G10;1;145.27;12.74;122.2;17.751994
UVG;G10;2;135.39;12.07;142.6;19.306614
UVG;G10;3;135.47;12.78;104.9;14.210803
UVG;G10;4;137.45;12.43;192.3;26.431635
UVG;G11;1;170.34;11.51;188.2;32.057988
UVG;G11;2;166.81;11.58;162.1;27.039901
UVG;G11;3;164.57;10.72;165.7;27.269249
UVG;G11;4;142.05;11.07;133.9;19.020495
